gene,expression
ASAP2,9.718898997265267
ASAP3,9.819313217866908
OCRL,10.292396536007288
?|441362,0.0024916134913400183
VSIG10L,5.41331403828624
PLAUR,9.275680674567012
XIST,12.227340747493164
KRT28,0.028416499544211493
TBX2,7.398424339106652
LOR,0.40728960802187786
LRRC26,5.393818960802188
KIAA1524,7.4557275296262695
LRRC24,4.0622288058340965
KIAA1522,12.240628350045588
MPDU1,10.117108204193231
KIAA1033,9.911471649954416
LOX,9.528630446672743
LPGAT1,11.21933938012762
LOC284661,0.1526736554238833
SEMA6D,6.597429808568821
LRRC29,5.387367912488614
KIAA1529,6.1450024612579774
SH3D20,2.6932415679124904
GCNT4,4.391160164083857
GCNT7,0.7356288058340918
PRKX,8.935655879671838
C14orf138,6.991990701914311
C14orf139,6.270916773017332
GCNT3,2.1347805834092983
GCNT2,8.21307019143117
C14orf135,9.548770829535094
LOC440957,6.884329717411126
C14orf132,8.424405378304467
ZNF165,6.788612032816769
LPCAT4,8.244605651777569
LPCAT2,8.533275934366458
LPCAT3,10.440071649954403
LPCAT1,10.838714858705568
SPNS1,9.874899270738378
KRT20,0.4410603463992708
MID1IP1,9.226660802187777
TAS2R42,0.15996818596171372
PIGA,7.798075113947133
PIGB,7.990464995442099
PIGC,9.799290246125818
PIGF,8.202846490428438
CALCRL,8.89581130355516
PIGH,8.383192251595247
TBC1D3,8.076122060164089
MGC70857,8.696799544211483
PIGK,9.694230902461266
PIGL,5.717632360984503
PIGM,9.425807019143129
PIGN,9.472695624430257
PIGO,10.034474020054693
PIGP,8.267178486782123
C20orf185,0.06232570647219691
C20orf186,0.3519147675478577
PIGS,10.496335733819524
ILKAP,8.719251595259802
PIGU,9.353232725615307
PIGV,8.69997338195077
PIGW,7.866034731084784
PIGX,9.741593254329999
PIGY,10.502987784867821
PIGZ,6.629238195077487
KRT25,0.03720337283500455
TMEM80,8.243100455788522
NDFIP2,9.350628350045582
ELAC1,6.386884503190521
ANKLE1,3.3479221513217916
OR52R1,0.004975205104831359
OR10A7,0.004875478577939835
ALPP,0.3728723792160438
RHPN1,9.241205378304466
INPPL1,11.092179945305386
OLR1,8.1638160437557
RHPN2,9.423212853236093
SRRM1,10.771434184138556
ITGAD,2.530252780309936
MGST2,9.291380127620783
SRRM2,13.564473564266187
RAET1L,1.3464454876937082
SRRM4,0.598954056517776
ITGAE,7.85036773017319
PDK1,8.47645934366454
SEPX1,9.186173473108473
PDK3,8.346485141294446
PDK2,9.546106472196893
EBP,9.55613992707385
PDK4,8.948470464904302
SUN3,0.23640537830446673
LNPEP,7.975392980856873
MYO5C,10.21229507748404
ALPI,0.09826855059252503
ZNF292,9.806281130355519
SEC61A1,13.113790701914299
SEC61A2,7.370238924339101
ALPL,7.907945305378311
PTGS2,5.0519071103008155
PECR,7.405741476754781
DDHD2,10.092086964448505
TBC1D5,10.291616773017314
NAPRT1,9.069857611668196
MGST3,10.804991340018237
